focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity
eunuchism,hypogonadism,True,A hypogonadism that is characterized by the lack of mature male germ cells and testicular hormones.,A gonadal disease that is characterized by diminished functional activity of the gonads.
asbestosis,pneumoconiosis,True,A pneumoconiosis caused by inhalation and retention of asbestos fibers.,An interstitial lung disease that is caused by the inhalation of dust.
appendicitis,appendix disease,True,"An appendix disease that involves inflammation and infection of the appendix caused by the blockage of the lumen with a small, hard piece of stool, a foreign body or worms. Mucus backs up in the appendiceal lumen, causing bacteria that live inside the appendix to multiply. The infection has symptom pain, in the upper abdomen initially and later in the lower abdomen, has symptom nausea, has symptom vomiting and has symptom fever.",A gastrointestinal system disease that is located in the appendix.
Goodpasture syndrome,autoimmune disease of urogenital tract,True,"An autoimmune disease that is characterized by antibody attack of the basement membrane in lungs and kidneys, leading to bleeding from the lungs and kidney failure.",An autoimmune disease that is the abnormal functioning of the immune system that causes your immune system to produce antibodies or T cells against cells and/or tissues in the urogenital tract.
influenza,respiratory system disease,True,"A viral infectious disease that results in infection, located in respiratory tract, has material basis in Influenzavirus A, has material basis in Influenzavirus B, or has material basis in Influenzavirus C, which are transmitted by droplet spread of oronasal secretions during coughing, sneezing, or talking from an infected person. It is a highly contagious disease that affects birds and mammals and has symptom chills, has symptom fever, has symptom sore throat, has symptom runny nose, has symptom muscle pains, has symptom severe headache, has symptom cough, and has symptom weakness.",A disease of anatomical entity that located in the respiratory system which extends from the nasal sinuses to the diaphragm.
uterus leiomyosarcoma,uterine corpus sarcoma,True,A uterine Corpus sarcoma and leiomyosarcoma and uterine Corpus smooth muscle neoplasm that is located in the smooth muscle of the uterus.,An uterine corpus cancer that is located in the muscles of the uterus or located in other tissues that support the uterus.
vulval Paget's disease,vulva adenocarcinoma,True,"A vulva adenocarcinoma that is characterized by distinctive large cells with prominent cytoplasm, referred to as Paget cells and is an intraepithelial neoplasm of epithelial origin expressing apocrine or eccrine glandular-like features.",A vulva carcinoma that derives from epithelial cells of glandular origin.
inherited metabolic disorder,disease of metabolism,True,A disease of metabolism that is characterized by enzyme deficiency or accumulation of enzymes or toxins which interfere with normal function due to inherited enzyme abnormality.,A disease that involving errors in metabolic processes of building or degradation of molecules.
Froelich syndrome,hypothalamic disease,True,"A hypothalamic disease that is characterized by endocrine dysfunction of the hypothalamic gland resulting in delayed puberty, small testes, and obesity.",A brain disease located in the hypothalamus.
hypobetalipoproteinemia,hypolipoproteinemia,True,A hypolipoproteinemia characterized by permanently low levels of apolipoprotein B and LDL cholesterol resulting from an impaired ability to absorb and transport fats.,A lipid metabolism disorder that is characterized by unusually low levels of fats in the blood.
myelomeningocele,spina bifida,True,"A spina bifida characterized by protrusion of the spinal cord through an opening, covered by meningeal membranes.",A neural tube defect that is characterized by incomplete closing of the spine and membranes around the spinal cord during early development.
thymus lipoma,immune system organ benign neoplasm,True,An immune system organ benign neoplasm that is located in the thymus and derives from fat cells.,An organ system benign neoplasm located in the immune system organs.
familial multiple nevi flammei,capillary disease,True,"A capillary disease characterized by dark red to purple, nonelevated, sharply circumscribed patches which blanch on pressure with a glass, do not spontaneously regress, and have normal rates endothelial cell turnover.",A vascular disease that is located in the capillaries.
Ewing sarcoma,connective tissue cancer,True,"A connective tissue cancer that has material basis in neural crest cells derives from undeveloped, undifferentiated neuroectoderm.",A musculoskeletal system cancer that is located in connective tissue.
dysbaric osteonecrosis,ischemic bone disease,True,An ischemic bone disease the has material basis in nitrogen embolization located in bone.,A bone disease that results in an interruption of blood supply located in bone.
medulloblastoma,infratentorial cancer,True,An infratentorial cancer that is located in the lower part of the brain and is a type of primitive neuroectodermal tumor.,A brain cancer that is located in the infratentorial region.
adiaspiromycosis,primary systemic mycosis,True,"A primary systemic mycosis that is a fungal infection located in lungs, or located in skin, which results in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has material basis in Chrysosporium parvum or Emmonsia crescens.","A systemic mycosis that results in infection located in human body, has material basis in Fungi, which can overcome the physiological and cellular defences of the normal human host. The primary deep pathogens usually gain access to the host via the respiratory tract."
laryngeal carcinoma,larynx cancer,True,A larynx cancer that has material basis in epithelial cells.,A respiratory system cancer that is located in the larynx.
Munchausen by proxy,factitious disorder,True,"A factitious disorder that involves a care giver's deliberate exaggeration, fabrication, and/or induce physical, psychological, behavioral, and/or mental health problems in others.","A disease of mental health where symptoms are deliberately produced, feigned or exaggerated in order to falsely demonstrate the presence of an illness."
rubella,West Nile encephalitis,True,"A viral infectious disease that results in infection located in skin, has material basis in Rubella virus, which is transmitted by droplet spread of oronasal secretions from the infected person through coughing and sneezing, and transmitted by congenital method. The infection has symptom rash on the face which spreads to the trunk and limbs, has symptom fever, has symptom lymphadenopathy, has symptom joint pains, has symptom headache, and has symptom conjunctivitis.","A viral infectious disease that results in inflammation located in brain, has material basis in West Nile virus, which is transmitted by Culex, Aedes, or Anopheles species of mosquitoes. The infection has symptom high fever, has symptom headache, has symptom neck stiffness, has symptom stupor, has symptom disorientation, has symptom coma, has symptom tremors, has symptom convulsions, has symptom muscle weakness, has symptom vision loss, has symptom numbness, and has symptom paralysis."
cecum adenoma,cecal benign neoplasm,True,A cecal benign neoplasm that has material basis in epithelial tissue with glandular origin.,An intestinal benign neoplasm that is located in the cecum.
superficial mycosis,fungal infectious disease,True,"A fungal infectious disease that results in infection of the outermost layer located in skin or located in hair shaft, has material basis in Fungi. No living tissue is invaded and there is no cellular response from the host.","A disease by infectious agent that results in infection, has material basis in Fungi, which pass the resistance barriers of the human or animal body."
congenital contractural arachnodactyly,distal arthrogryposis,True,"A distal arthrogryposis characterized by contractures, arachnodactyly, scoliosis, and crumpled ears that has material basis in heterozygous mutation in the FBN2 gene on chromosome 5q23.3.",A muscle tissue disease characterized by congenital joint contractures of hand and feet.
ovary sarcoma,ovarian cancer,True,An ovarian cancer that has material basis in abnormally proliferating cells derives from embryonic mesoderm.,A female reproductive organ cancer that is located in the ovary.
otitis externa,external ear disease,True,An external ear disease that involves inflammation of the outer ear and ear canal. It can be caused by active bacterial or fungal infections.,An auditory system disease that is located in the external ear.
childhood electroclinical syndrome,absence epilepsy,True,An electroclinical syndrome with onset in childhood between one and 12 years of age.,"An electroclinical syndrome characterized by the occurrence of generalized onset seizures that cause lapses in awareness, begin and end abruptly, typically last only a few seconds and are associated with abnormal spike-wave discharges as seen by electroencephalogram."
spinal cord lymphoma,central nervous system hematologic cancer,True,A spinal cancer that is located in the spinal cord and derives from lymphocytes.,A hematologic cancer and central nervous system neoplasm that is located in the central nervous system.
cycloplegia,eye accommodation disease,True,"An eye accommodation disease that is characterized by paralysis of the ciliary muscle of the eye, resulting in a loss of accommodation.",An eye disease that is characterized by decreased ability to change the optical power of the eye to maintain a clear image.
gliosarcoma,glioblastoma,True,A gliomablastoma that is characterized by a biphasic tissue pattern with alternating areas displaying glial and mesenchymal differentiation.,"A malignant astrocytoma characterized by the presence of small areas of necrotizing tissue that is surrounded by anaplastic cells as well as the presence of hyperplastic blood vessels, and that has material basis in abnormally proliferating cells derives from multiple cell types including astrocytes and oligondroctyes."
mast-cell sarcoma,mast cell neoplasm,True,A sarcoma that has material basis in mast cells.,A hematologic cancer that has material basis in mast cells.
external ear lipoma,auditory system benign neoplasm,True,An auditory system benign neoplasm that is located in the external ear.,A sensory system benign neoplasm that is located in the auditory system.
orbit sarcoma,orbital cancer,True,An orbital cancer that has material basis in abnormally proliferating cells derived from embryonic mesoderm.,"A bone cancer that is located in the area behind the eye and derives from the orbit or secondarily derives from an adjacent source (eyelid, paranasal sinus, or intracranial compartment). It results in the eye pushing forward causing a bulging of the eye called proptosis."
uterus interstitial leiomyoma,uterine fibroid,True,An uterine fibroid that is located within the myometrium.,An uterine benign neoplasm derived from the smooth muscle layer of the uterus.
congenital hypothyroidism,physical disorder,True,A hypothyroidism that is present at birth.,"A disease that has material basis in a genetic abnormality, error with embryonic development, infection or compromised intrauterine environment."
Zellweger syndrome,peroxisomal biogenesis disorder,True,"A peroxisomal biogenesis disorder that is characterized by severe neurologic dysfunction, craniofacial abnormalities, and liver dysfunction, and biochemically by the absence of peroxisome and that has material basis in autosomal recessive inheritance of a mutation in the peroxisome biogenesis factor (PEX) genes.",A peroxisomal biogenesis disorder that has material basis in defects in PEX genes.
Brody myopathy,atrophic muscular disease,True,A neuromuscular disease is characterized by difficulty relaxing muscles and muscle stiffness following exercise or other strenuous activity and is located in skeletal muscles.,A neuromuscular disease that is characterized by an abnormal reduction in the muscle volume and atrophy.
neurilemmoma,neuroma,True,A neuroma that is characterized as a benign nerve sheath tumor that is composed of Schwann cells.,A nervous system benign neoplasm that is characterized as a nerve tissue tumor.
alcohol-related birth defects,fetal alcohol spectrum disorder,True,"A fetal alcohol spectrum disorder that results in damage to organs, bones, or muscles due to prenatal alcohol exposure.","A specific developmental disorder and physical disorder that is characterized by physical, behavioral and learning birth defects resulting from maternal ingestion of alcohol during pregnancy."
scoliosis,bone structure disease,True,A bone structure disease characterized by an appreciable lateral deviation in the normally straight vertical line of the spine.,A bone disease that has material basis in an abnormality in the location or function of the skeletal structure.
multiple cutaneous and mucosal venous malformations,vein disease,True,A vein disease that is characterized by multiple bluish cutaneous or mucosal venous lesions that has material basis in heterozygous mutation in the TEK gene on chromosome 9p21.,A vascular disease that is located in a vein.
polyradiculopathy,radiculopathy,True,A radiculopathy that is present in more than one nerve.,"A peripheral nervous system disease that is characterized by the pinching of a nerve root in the spine and has symptoms of pain, weakness, numbness and tingling."
"myopathy, lactic acidosis, and sideroblastic anemia",mitochondrial myopathy,True,"A mitochondrial myopathy that is characterized by progressive exercise intolerance manifesting in childhood, onset of sideroblastic anaemia around adolescence, lactic acidaemia, and mitochondrial myopathy.",A myopathy that is characterized by mitochondrial dysfunction.
ankylosis,arthropathy,True,"An arthropathy where there is a stiffness of a joint, the result of injury or disease. The rigidity may be complete or partial and may be due to inflammation of the tendinous or muscular structures outside the joint or of the tissues of the joint itself.",A bone disease that is located in the joint.
cerebral amyloid angiopathy,amyloidosis,True,"An amyloidosis where amyloid protein progressively deposits in cerebral blood vessel walls with subsequent degenerative vascular changes that usually result in spontaneous cerebral hemorrhage, ischemic lesions and progressive dementia.","A disease of metabolism that is characterized by extracellular tissue deposition of mis-folded amyloid fibrils built up by twisted protofilaments, deposited in the spaces between the cells of vital organs, causing disruption of organ tissue structure and function. These deposits may result in a wide range of clinical manifestations depending upon their type, location, and the amount of deposition."
nanophthalmos,microphthalmia,True,"A microphthalmia that is characterized by a small eye with a short axial length, severe hyperopia, an elevated lens/eye ratio, and a high incidence of angle-closure glaucoma.",An eye disease where one or both eyeballs are abnormally small.
Kallmann syndrome,hypogonadotropic hypogonadism,True,A hypogonadotropic hypogonadism with a defective sense of smell (anosmia or hyposmia).,A hypogonadism characterized by a impaired signalling by gonadotrpin relasing hormone.
inflammatory myofibroblastic tumor,mesenchymal cell neoplasm,True,A mesenchymal cell neoplasm that has material basis in myofibroblastic cells admixed with inflammatory cells.,"A cell type cancer that has material basis in abnormally proliferating cells derives from embryonic connective tissue that is capable of developing into connective tissue, such as bone, and cartilage, the lymphatic system, and the circulatory system."
polymyositis,myositis,True,A myositis that is characterized by muscle weakness affecting both sides of your body.,A myopathy characterized by muscle inflammation.
marasmus,protein-energy malnutrition,True,"A protein-energy malnutrition that is characterized by severe caloric deprivation, has symptom emaciation, decreased height and weight gain, and decreased metabolism with hypothermia, bradycardia, and constipation, and has material basis in severe caloric deprivation.","A nutritional deficiency disease that is characterized by inadequate dietary protein and calories, which can have profound systemic effects including decreased metabolism, altered tissue distribution, compromised immunity, and impaired growth, and has material basis in dietary deprivation."
Werdnig-Hoffmann disease,childhood spinal muscular atrophy,True,"A childhood spinal muscular atrophy that is a severe form and is characterized by muscle weakness onset from birth to six months of age, the inability to sit unassisted and that has material basis in a mutation or deletion in the telomeric copy of the SMN gene, known as SMN1, on chromosome 5q13.",A spinal muscular atrophy that is associated with the survival of motor neuron protein in childhood and that has material basis in variation in the SMN gene.
congenital diaphragmatic hernia,diaphragm disease,True,"A diaphragm disease characterized by the lack of development of all or part of the diaphragm, which results in an abnormal opening that allows the stomach and intestines to move into the chest cavity and crowd the heart and lungs.",A muscular disease that is located in the diaphragm.
Carrion's disease,bartonellosis,True,"A bartonellosis that results in infection located in endothelial cells or located in red blood cells, has material basis in Bartonella bacilliformis, which is transmitted by sandflies of genus Lutzomyia. The infection has acute and chronic phases. The acute phase is characterized by severe hemolytic anemia and transient immunosuppression. The chronic phase is characterized by verruga peruana lesions which may ulcerate and bleed.",A primary bacterial infectious disease that is caused by the bacteria of the genus Bartonella.
episcleritis periodica fugax,scleral disease,True,"A scleral disease that is characterized by painful inflammation of the episcleral tissues that, importantly, spares the sclera itself and has symptom pain, red eyes, photophobia, tearing, and blurry vision. Episcleritis periodica fugax is typically self-limited but may be related to vascular congestion within the superficial episcleral plexus and associated with autoimmune disease, connective tissue disease, malignancies, trauma, infection, and medications, especially topiramate and pamidronate.","An eye disease that affects the sclera, which is the white fibrous outer layer of the eyeball."
mediastinum sarcoma,mediastinal cancer,True,A sarcoma and malignant mediastinal mesenchymnal tumor that is located in the mediastinum.,A thoracic cancer that is located in the mediastinum.
"alacrima, achalasia, and impaired intellectual development syndrome",congenital disorder of glycosylation,True,"A congenital disorder of glycosylation characterized by onset in infancy of alacrima, achalasia, and impaired intellectual development without adrenal insufficiency that has material basis in homozygous or compound heterozygous mutation in the GMPPA gene on chromosome 2q35.",A carbohydrate metabolic disorder that involves deficient or defective glycosylation of a variety of tissue proteins and/or lipids.
parotitis,parotid disease,True,A parotid disease characterized by the inflammation of one or both parotid glands.,A salivary gland disease that is located in the parotid gland.
Erdheim-Chester disease,non-Langerhans-cell histiocytosis,True,A non-Langerhans-cell histiocytosis that is characterized by the proliferation in the tissues of lipid-laden macrophages and the presence of multinucleated giant cells. It results in sclerosis of the long bones and failure of the affected organs.,A histiocytosis that is characterized by the accumulation of histiocytes that do not meet the phenotypic criteria for the diagnosis of Langerhans cells.
lipid pneumonia,aspiration pneumonitis,True,An aspiration pneumonitis resulting from the aspiration of lipids. It is the result of a foreign body-type reaction to the presence of lipid material within the lung parenchyma. It is caused by inhalation of nasal drops with oil base or cosmetic oil and aspiration of mineral oil when used as a laxative agent.,"A pneumonia that is defined as an acute lung injury after the inhalation of foreign material such as regurgitated acidic gastric contents, petroleum products and laxative oils. This syndrome occurs in patients who have a marked disturbance of consciousness such as that resulting from a drug overdose, seizures, a massive cerebrovascular accident, or the use of anesthesia. Aspiration of gastric contents results in a chemical burn of the tracheobronchial tree and pulmonary parenchyma, causing an intense parenchymal inflammatory reaction. The disease has symptom non-productive cough, has symptom tachypnea, has symptom bronchospasm, has symptom bloody sputum, has symptom frothy sputum, or has symptom respiratory distress, 2-5 hrs after aspiration."
Meige syndrome,cranio-facial dystonia,True,A cranio-facial dystonia that is accompanied by blepharospasm.,"A focal dystonia that is characterized as dystonia that affects the muscles of the head, face, and neck."
endophthalmitis,globe disease,True,A globe disease that is characterized by inflammation of the inside of the eye.,An eye disease that involves the globe of the eye.
semantic dementia,primary progressive aphasia,True,"A primary progressive aphasia that is characterized by the progressive, amodal and profound loss of semantic knowledge and behavioral abnormalities, attributable to the degeneration of the anterior temporal lobes.","A frontotemporal dementia that characterized by the progressive onset of language impairments, and gradual deterioration of these abilities over time, associated with atrophy of the language network of the brain, including frontal, temporal, and parietal regions of the left hemisphere. It is caused by a loss of tissue (atrophy) in the area of the brain that is responsible for producing language."
acrodermatitis,dermatitis,True,A dermatitis that selectively affects the hands and feet.,"A skin disease characterized by itchy, erythematous, vesicular, weeping and crusting patches of skin."
panuveitis,uveitis,True,"An uveitis that is characterized by inflammation of all layers of the uvea (middle layer) of the eye, which includes the iris, ciliary body, and choroid.","An uveal disease is characterized by inflammation of any of the layers of the uvea of the eye, which includes the iris, ciliary body, and choroid."
infective endocarditis,bacterial infectious disease,True,An endocarditis that is characterized by inflammation of the endocardium caused by infectious agents.,"A disease by infectious agent that results in infection, has material basis in Bacteria."
sleeping sickness,trypanosomiasis,True,"A trypanosomiasis that results from infection by Trypanosoma brucei and gambiense, which is transmitted by the bite of an infected tsetse fly (Glossina spp). The symptoms include fever, headache, joint pain, itching, confusion, sensory disturbances, poor coordination and sleep disturbances.",A parasitic protozoa infectious disease that involves infection caused by parasitic protozoan of the genus Trypanosoma in animals and humans.
black piedra,superficial mycosis,True,"A superficial mycosis that is a superficial fungal infection of the hair shaft caused by Piedraia hortae, an ascomycetous fungus forming hard black nodules on the shafts of the scalp, beard, moustache and pubic hair.","A fungal infectious disease that results in infection of the outermost layer located in skin or located in hair shaft, has material basis in Fungi. No living tissue is invaded and there is no cellular response from the host."
malignant pleural mesothelioma,respiratory system cancer,True,A pleural cancer that has material basis in mesothelium cells.,An organ system cancer located in the respiratory system that is characterized by uncontrolled cellular proliferation in the respiratory tract.
DNA ligase IV deficiency,combined T cell and B cell immunodeficiency,True,"A combined T cell and B cell immunodeficiency that has material basis in a mutation in the LIG4 gene, a DNA ligase, encoding a protein essential for V(D)J recombination and DNA double-strand break (DSB) repair through nonhomologous end joining (NHEJ). Patients present with immunodeficiency and developmental and growth delay.",A primary immunodeficiency disease characterized by impaired T cell-mediated immunity and impaired B cell mediated humoral immunity.
Carpenter syndrome,acrocephalosyndactylia,True,"An acrocephalosyndactylia characterized by craniosynostosis, acrocephaly, obesity, syndactyly and polydactyly.",A synostosis that results in craniosynostosis and syndactyly.
Kohler's disease,osteochondrosis,True,An osteochondrosis that results in death and collapse located in navicular bone of foot.,An ischemic bone disease that results in necrosis followed by regrowth in children and teens located in bone.
amyotrophic neuralgia,brachial plexus neuropathy,True,"A brachial plexus neuropathy that is characterized by acute, recurrent episodes of brachial plexus neuropathy with muscle weakness and atrophy preceded by severe pain in the affected arm, and that has material basis in heterozygous mutation in the SEPT9 gene on chromosome 17q25.","A peripheral nervous system disease that is characterized by damage to nerves in the upper shoulder of the brachial plexus, an area where nerves from the spinal cord branch into the arm nerves."
calcinosis,diffuse idiopathic skeletal hyperostosis,False,A calcium metabolism disease that is the result of the formation of calcium deposits in any soft tissue.,A calcinosis that is the calcification or a bony hardening of ligaments in areas where they attach to your spine.
parasitic ectoparasitic infectious disease,tungiasis,False,A parasitic infectious disease that is caused by organisms that live primarily on the surface of the host.,"A parasitic ectoparasitic infectious disease that is an inflammatory skin disease caused by the parasitic infestation of the female chigoe flea, Tunga penetrans in animals and humans. The symptoms include skin inflammation, severe pain, itching, and a lesion at the site of infection that is characterized by a black dot at the center of a swollen red lesion, surrounded a white halo."
congenital muscular dystrophy,Walker-Warburg syndrome,False,"A muscular dystrophy that is characterized by diminished muscle tone (hypotonia), progressive muscle weakness and degeneration (atrophy), abnormally fixed joints, spinal rigidity, and delays in reaching motor milestones such as sitting or standing unassisted.","A congenital muscular dystrophy that is characterized by hypotonia, seizures, severe intellectual and developmental disability, eye abnormalities and early death and has material basis in mutations in multiple genes including POMT1, POMT2, ISPD, FKTN, FKRP, and LARGE1."
inflammatory and toxic neuropathy,organophosphate-induced delayed polyneuropathy,False,"A neuropathy that is caused by drug ingestion, drug or chemical abuse, or industrial chemical exposure from the workplace or the environment.","An inflammatory and toxic neuropathy that is characaterized by a collection of neuropsychological symptoms associated with repeated organophosphate pesticide exposure as well as nerve agent exposure. Symptoms can appear weeks after exposure and include muscle weakness, anxiety, depression, psychosis as well as cognitive and memory deficits."
optic nerve disease,chiasmal syndrome,False,A cranial nerve disease that is located in the optic nerve.,"An optic nerve disease that is characterized by lesions of the optic chiasm, manifesting as various impairments of the sufferer's visual field according to the location of the lesion along the optic nerve."
leukocyte disease,hereditary neutrophilia,False,A hematopoietic system disease that is located in white blood cells.,"A leukocyte disease characterized by autosomal dominant inheritance of lifelong, persistent elevated neutrophil counts primarily consisting of segmented neutrophils that has material basis in heterozygous mutation in the colony stimulating factor 3 receptor (CSF3R) gene on chromosome 1p34."
paraphilia disorder,exhibitionism,False,"A sexual disorder that is characterized recurrent, intense sexually arousing fantasies, sexual urges or behaviors generally involving nonhuman objects.","A paraphilia disorder that is characterized by recurrent sexual urges, fantasies, or behaviors involving the exposure of one's genitals to an unsuspecting stranger."
communication disorder,agnosia,False,A specific developmental disorder that involves specific developmental disorders of speech and language.,"A communication disorder that is a loss of ability to recognize objects, persons, sounds, shapes, or smells while the specific sense is not defective nor is there any significant memory loss."
recurrent hypersomnia,Kleine-Levin syndrome,False,A sleep disorder that involves recurring bouts of excessive amounts of sleepiness.,A recurrent hypersomnia that is characterized by recurring periods of excessive amounts of sleep and altered behavior.
alopecia,atrichia with papular lesions,False,A hypotrichosis that is characterized by a loss of hair from the head or body.,An alopecia characterized by irreversible hair loss during the neonatal period on all hear-bearing areas of the body followed by development of papular lesions all over the body that has material basis in mutations in the HR gene on chromosome 8p21.3.
learning disability,writing disorder,False,"A specific developmental disorder that involves difficulty in scholastic skills such as reading, writing, spelling, reasoning, recalling and/or organizing information resulting from the brain's inability to receive and process information.","A learning disability that involves impaired written language ability such as impairments in handwriting, spelling, organization of ideas, and composition."
pure red-cell aplasia,Diamond-Blackfan anemia,False,A congenital hypoplastic anemia that is characterized by a normocytic normochromic anemia with severe reticulocytopenia and marked reduction or absence of erythroid precursors from the bone marrow.,A pure red-cell aplasia that is characterized by anemia (low red blood cell counts) with decreased erythroid progenitors in the bone marrow and has material basis insufficient levels of red blood cells due to bone marrow dysfunction.
bone deterioration disease,spinal stenosis,False,A bone structure disease that results in change or damage of structure located in bone.,"A bone deterioration disease that has material basis in bony spurs, disc degeneration, or thickened ligaments which results in narrowing located in spinal cord."
major depressive disorder,melancholic depression,False,"A depressive disorder that is characterized by at least two weeks of loss of interest or pleasure in normally enjoyable activities or depressed mood along with additional cognitive or somatic impairments such as appetite or weight changes, sleep difficulties, psychomotor agitation or retardation, fatigue or loss of energy, diminished ability to think or concentrate, feelings of worthlessness or excessive guilt, and suicidality.",A major depressive disorder characterized by near-complete absence of pleasure.
cutaneous mycosis,dermatophytosis,False,"A fungal infectious disease that results in infection of the keratinized layers located in skin, located in hair or located in nail, which extends deeper into the epidermis, has material basis in Fungi and results in formation of skin lesions.","A cutaneous mycosis that results in fungal infection located in scalp, located in glabrous skin, or located in nail, has material basis in Ascomycota fungi that belong to a group called dermatophytes, which have the ability to utilize keratin as a nutrient source. Subtypes are classified by the location on the body."
bone development disease,osteochondrodysplasia,False,A bone disease that results in abnormal growth and development located in bone or located in cartilage.,A bone development disease that results in defective development of cartilage or bone.
pineal gland cancer,pineoblastoma,False,An endocrine gland located in the pineal gland located in the brain.,A pineal gland neoplasm located in the brain.
articulation disorder,stuttering,False,"A speech disorder that involves mispronouncing speech sounds by omitting, distorting, substituting, or adding sounds which can make speech difficult to understand.",An articulation disorder characterized by involuntary sound repetition and disruption or blocking of speech.
endocardium disease,endocarditis,False,A heart disease that is located in the innermost layer of tissue that lines the chambers of the heart.,A endocardium disease characterized by inflammation of the endocardium of the heart chambers and valves.
blood coagulation disease,hemophilia,False,A hematopoietic system disease that is characterized by abnormal blood clotting or bleeding.,A blood coagulation disease characterized by spontaneous hemorrhage or prolonged bleeding.
alpha thalassemia,hemoglobin H disease,False,A thalassemia involving the genes HBA1and HBA2 hemoglobin genes.,"An alpha thalassemia that has material basis in contiguous gene deletion of the hemoglobin alpha-1 (HBA1) and alpha-2 (HBA2) genes on one chromosome 16, and a defect, deletional or nondeletional, in either HBA1 or HBA2 on the other."
gastrointestinal system disease,diarrhea,False,A disease of anatomical entity that is located in the gastrointestinal tract.,"A gastrointestinal system disease described as the condition of having frequent loose or liquid bowel movements. Acute diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide. The loss of fluids through diarrhea can cause severe dehydration which is one cause of death in diarrhea sufferers. Along with water, sufferers also lose dangerous amounts of important salts, electrolytes, and other nutrients. There are at least four types of diarrhea: secretory diarrhea, osmotic diarrhea, motility-related diarrhea, and inflammatory diarrhea."
autonomic nervous system neoplasm,neuroblastoma,False,A peripheral nervous system neoplasm that is located in the autonomic nervous system.,An autonomic nervous system neoplasm that derives from immature nerve cells.
adrenocortical carcinoma,adrenal cortical adenocarcinoma,False,An adrenal cortex cancer that forms in the outer layer of tissue of the adrenal gland and that has material basis in abnormally proliferating cells derives from epithelial cells.,An adrenocortical carcinoma that originates in the cortex of the adrenal gland and derives from epithelial cells of glandular origin.
cerebral ventricle cancer,high grade ependymoma,False,A cerebrum cancer that is located in the cerebral ventricles.,"A high grade glioma that is derived from ependymal cells, a type of glial cell, located in ventricle lining within the central part of the brain."
cecal disease,cecum cancer,False,An intestinal disease located in the cecum.,A large intestine cancer that is located in the cecum.
biliary tract benign neoplasm,extrahepatic bile duct lipoma,False,A hepatobiliary benign neoplasm located in the biliary tract.,A biliary tract benign neoplasm that is located in the extrahepatic bile duct and derives from fat cells.
extrinsic allergic alveolitis,ventilation pneumonitis,False,"An interstitial lung disease involving inflammation of alveoli and smallest airways (bronchioles) of the lung caused by an allergic reaction to inhaled organic dusts containing microorganisms or proteins, and chemicals. Symptoms include chills, cough, fever, malaise, shortness of breath, loss of appetite and weight loss.",An extrinsic allergic alveolitis caused by inhalation of antigens from thermophilic actinomycetes species growing in air conditioners and humidifiers. Fungi like Aureobasidium sp and Candida albicans that survive in the contaminated water in humidifiers and air conditioners are also known to cause the disease.
combined pituitary hormone deficiency,X-linked panhypopituitarism,False,A hypopituitarism characterized by deficiency in growth hormone and at least one other pituitary hormone.,A combined pituitary hormone deficiency that has material basis in duplications in the SOX3 gene on chromosome Xq27.1.
progeroid syndrome,progeria,False,A syndrome that is characterized by the premature onset of age-related pathologies.,"A progeroid syndrome characterized by extreme short stature, low body weight, early loss of hair, lipodystrophy, scleroderma, decreased joint mobility, osteolysis, and facial features that resemble aged persons that has material basis in mutation in the LMNA gene on chromosome 1q22."
megacolon,Hirschsprung's disease,False,A colonic disease that is characterized by an abnormal dilation of the colon.,A megacolon that is characterized by a blockage of the large intestine due to improper muscle movement in the bowel.
brachydactyly,brachydactyly-preaxial hallux varus syndrome,False,A dysostosis characterized by short fingers and toes.,"A brachydactyly characterized by autosomal dominant inheritance of short thumbs and first toes with abduction of these digits, the shortening involves the metacarpals, metatarsals, and distal phalanges."
leukopenia,agranulocytosis,False,"A leukocyte disorder that is characterized by a decrease in the number of white blood cells (leukocytes) found in the blood, which places individuals at increased risk of infection.",A leukopenia that is characterized by a severe lack of of granulocytes with a drop in granulocyte concentration below 200 cells/mm³ of blood.
epidemic typhus,Brill-Zinsser disease,False,"A typhus that has material basis in Rickettsia prowazekii, which is transmitted by human body louse (Pediculus humanus corporis). The infection has symptom high fever, has symptom cough, has symptom rash, has symptom severe muscle pain, has symptom chills, has symptom falling blood pressure, has symptom stupor, has symptom sensitivity to light, and has symptom delirium.","An epidemic typhus that is a mild form of the disease, which recurs in someone after a long period of latency due to immunosuppression, malnutrition or other illnesses."
reproductive system disease,persistent Mullerian duct syndrome,False,A disease of anatomical entity that is located in reproductive system organs.,"A pseudohermaphroditism that is characterized by the persistence of Mullerian duct derivatives (i.e. uterus, cervix, fallopian tubes and upper two thirds of vagina) in a phenotypically and karyotypically male."
uterine corpus cancer,endometrial serous adenocarcinoma,False,A uterine cancer that is located in the uterine corpus.,"A uterine corpus cancer that is characterized histologically by papillae with fibrovascular cores, marked nuclear atypia, psammoma bodies and cilia."
thrombophilia,protein S deficiency,False,A blood coagulation disease that is characterized by an increased tendency to form clots.,A thrombophilia that is characterized by increased risk of developing abnormal blood clots.
leiomyoma,leiomyomatosis,False,A cell type benign neoplasm that is a benign tumor of smooth muscle cells.,A leiomyoma that is multiple and diffuse.
