focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity,smile_feature_of_focal_entity,smile_feature_of_candidate_entity
Mifepristone,Dienogest,True,"Mifepristone is a progestational and glucocorticoid hormone antagonist. Its inhibition of progesterone induces bleeding during the luteal phase and in early pregnancy by releasing endogenous prostaglandins from the endometrium or decidua. As a glucocorticoid receptor antagonist, the drug has been used to treat hypercortisolism in patients with nonpituitary cushing syndrome. The two marketed forms of mifepristone are Mifeprex® (mifepristone 200mg) and Korlym™ (mifepristone 300mg). Currently under investigation for use in psychotic depression (phase 3 trials).;;;;","Dienogest is an orally-active semisynthetic progestogen which also possesses the properties of 17α-hydroxyprogesterone. It is a derivative of 19-nortestosterone and has antiandrogenic properties. It is primarily used as a contraceptive in combination with ethinylestradiol, or in other combination form pills approved in United States and Europe however it is not available in the US by itself. In Europe, Australia, Malaysia, Singapore and Japan, dienogest single therapy is an approved treatment for endometriosis to alleviate painful symptoms of endometriosis and reduce endometriotic lesions [A20330]. Dienogest is commonly marketed as Visanne, Natazia and Qlaira.;;;;",[H][C@@]12CC[C@@](O)(C#CC)[C@@]1(C)C[C@H](C1=CC=C(C=C1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@]21[H],[H][C@@]12CC[C@@](O)(CC#N)[C@@]1(C)CCC1=C3CCC(=O)C=C3CC[C@@]21[H]
Vitamin C,Amphetamine,True,"A six carbon compound related to glucose. It is found naturally in citrus fruits and many vegetables. Ascorbic acid is an essential nutrient in human diets, and necessary to maintain connective tissue and bone. Its biologically active form, vitamin C, functions as a reducing agent and coenzyme in several metabolic pathways. Vitamin C is considered an antioxidant.;;;;","Amphetamine, a compound discovered over 100 years ago, is one of the more restricted controlled drugs. It was previously used for a large variety of conditions and this changed until this point where its use is highly restricted. Amphetamine, with the chemical formula alpha-methylphenethylamine, was discovered in 1910 and first synthesized by 1927. After being proven to reduce drug-induced anesthesia and produce arousal and insomnia, amphetamine racemic mix was registered by Smith, Kline and French in 1935. Amphetamine structure presents one chiral center and it exists in the form of dextro- and levo-isomers.[A18540] The first product of Smith, Kline and French was approved by the FDA on 1976.[L5194];;;;",[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CC(N)CC1=CC=CC=C1
Torasemide,Sufentanil,True,"Torasemide is a high-ceiling loop diuretic.[A174463] Structurally, it is a pyridine-sulfonylurea used as an antihypertensive agent.[A319] Torasemide was first approved for clinical use by the FDA in 1993.[L5257];;;;","Sufentanil is an opioid analgesic that is used as an adjunct in anesthesia, in balanced anesthesia, and as a primary anesthetic agent.  It is administered by the intravenous, epidural and sublingual routes. ;;;;",CC(C)NC(=O)NS(=O)(=O)C1=C(NC2=CC=CC(C)=C2)C=CN=C1,CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1
Conivaptan,Dihydroergotamine,True,Conivaptan is a non-peptide inhibitor of antidiuretic hormone (vasopressin). It was approved in 2004 for hyponatremia (low blood sodium levels) caused by syndrome of inappropriate antidiuretic hormone (SIADH). Conivaptan inhibits both isotypes of the vasopressin receptor (V1a and V2).;;;;,"A 9,10alpha-dihydro derivative of [ergotamine]. Dihydroergotamine is used as an abortive therapy for migraines.[L38469] Its use has largely been supplanted by triptans in current therapy due to the class's greater selectivity and more favourable side effect profile.;;;;",CC1=NC2=C(CCN(C(=O)C3=CC=C(NC(=O)C4=CC=CC=C4C4=CC=CC=C4)C=C3)C3=CC=CC=C23)N1,[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@H]3CN(C)[C@]4([H])CC5=CNC6=CC=CC(=C56)[C@@]4([H])C3)O[C@@]21O
Tapentadol,Loratadine,True,"Opioid analgesic for treatment of moderate to severe pain. FDA approved on Nov 20, 2008.;;;;","Loratadine is a second generation antihistamine used to manage symptoms of allergic rhinitis.[A176435] A lack of sedative and CNS adverse effects make loratadine, along with other second generation antihistamines, preferable over their 1st generation counterparts in many clinical situations.[A176441];;;;",CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1,CCOC(=O)N1CCC(CC1)=C1C2=C(CCC3=C1N=CC=C3)C=C(Cl)C=C2
Clarithromycin,Pranlukast,True,"Clarithromycin, a semisynthetic macrolide antibiotic derived from erythromycin, inhibits bacterial protein synthesis by binding to the bacterial 50S ribosomal subunit. Binding inhibits peptidyl transferase activity and interferes with amino acid translocation during the translation and protein assembly process. Clarithromycin may be bacteriostatic or bactericidal depending on the organism and drug concentration.;;;;","Pranlukast is a cysteinyl leukotriene receptor-1 antagonist. It antagonizes or reduces bronchospasm caused, principally in asthmatics, by an allergic reaction to accidentally or inadvertently encountered allergens.;;;;",[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC,O=C(NC1=C2OC(=CC(=O)C2=CC=C1)C1=NNN=N1)C1=CC=C(OCCCCC2=CC=CC=C2)C=C1
Metoclopramide,Sulpiride,True,"Diabetic gastroparesis is a condition that causes frequent nausea and vomiting, which has a negative impact on quality of life and poses a significant burden on the healthcare system.[A184934] Metoclopramide is a dopamine antagonist used to treat nausea and vomiting that may be associated with diabetic gastroparesis in addition to gastroesophageal reflux disease (GERD). It can also be used to prevent nausea or vomiting associated with chemotherapy or certain surgical or diagnostic procedures.[L8417] ;;;;","Sulpiride first appeared in published literature in 1967.[A229538] Clinical studies show a greater effect on treating the negative symptoms of schizophrenia rather than positive symptoms at low doses, though the effects are more equal at higher doses.[A229683];;;;",CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC,CCN1CCCC1CNC(=O)C1=C(OC)C=CC(=C1)S(N)(=O)=O
Fenoterol,Propylhexedrine,True,Fenoterol is an adrenergic beta-2 agonist that is used as a bronchodilator and tocolytic.;;;;,"Propylhexedrine is an alpha-adrenergic agonist often used in nasal decongestant inhalers. It is used to give temporary relief for nasal congestion from colds, allergic rhinitis, or allergies.;;;;",CC(CC1=CC=C(O)C=C1)NCC(O)C1=CC(O)=CC(O)=C1,CNC(C)CC1CCCCC1
Delavirdine,Rifampicin,True,"A potent, non-nucleoside reverse transcriptase inhibitor with activity specific for HIV-1.;;;;","A semisynthetic antibiotic produced from Streptomyces mediterranei. It has a broad antibacterial spectrum, including activity against several forms of Mycobacterium. In susceptible organisms it inhibits DNA-dependent RNA polymerase activity by forming a stable complex with the enzyme. It thus suppresses the initiation of RNA synthesis. Rifampin is bactericidal, and acts on both intracellular and extracellular organisms. (From Gilman et al., Goodman and Gilman's The Pharmacological Basis of Therapeutics, 9th ed, p1160);;;;",CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(O)C(\C=N\N4CCN(C)CC4)=C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C(O)=C2C(O)=C3C
Sodium oxybate,Levorphanol,True,"Sodium oxybate (Xyrem) is a central nervous system (CNS) depressant used to treat cataplexy or excessive daytime sleepiness associated with narcolepsy.[L30598] It is a sodium salt of [gamma-Hydroxybutyric acid], an endogenous cerebral inhibitory neurotransmitter [A251445] and a metabolite of the inhibitory neurotransmitter GABA.[A251430] Due to its physiological effects, sodium oxybate is associated with a risk for substance misuse and abuse. Sodium oxybate has been misused to stimulate body growth and to induce euphoria, disinhibition, and sexual arousal as a ""party drug"" or ""club drug.""[A18723] For safety reasons, sodium oxybate is a controlled substance only available through a restricted program in approved countries.[L30598];;;;",A narcotic analgesic that may be habit-forming. It is nearly as effective orally as by injection.;;;;,[Na+].OCCCC([O-])=O,[H][C@@]12CCCC[C@@]11CCN(C)[C@@H]2CC2=C1C=C(O)C=C2
Ethanol,Zolpidem,True,"A clear, colorless liquid rapidly absorbed from the gastrointestinal tract and distributed throughout the body. It has bactericidal activity and is used often as a topical disinfectant. It is widely used as a solvent and preservative in pharmaceutical preparations as well as serving as the primary ingredient in alcoholic beverages.;;;;","Zolpidem, also known as _Ambien_, is a hypnotic drug that was initially approved by the FDA in 1992 [FDA label].  Zolpidem improves sleep in patients with insomnia. It is aimed for use in patients with difficulties initiating sleep. This drug decreases the time to fall asleep (sleep latency), increases the duration of sleep, and decreases the number of awakenings during sleep in patients with temporary (transient) insomnia.  It is available in both immediate acting and extended release forms [FDA label], [F3802]. ;;;;",CCO,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1
Butabarbital,Carvedilol,True,"Butabarbital, or Butisol, is a fast onset barbiturate with short duration of action compared to other barbiturates.[A201977,L13613] This makes butabarbital a useful drug for treating severe insomnia and pre-operative anxiety.[A201977,L13613] Butabarbital is less commonly used in recent years, as more patients are typically prescribed benzodiazepines.[A19735] Its short duration of action gives butabarbital a high abuse potential, comparable to [secobarbital].[A201977,A201980];;;;","Carvedilol is a racemic mixture where the S(-) enantiomer is a beta adrenoceptor blocker and the R(+) enantiomer is both a beta and alpha-1 adrenoceptor blocker.[L7889,L7892] It is currently used to treat heart failure, left ventricular dysfunction, and hypertension.[L7889,L7892] The dual action of carvedilol is advantageous in combination therapies as moderate doses of 2 drugs have a decreased incidence of adverse effects compared to high dose monotherapy in the treatment of moderate hypertension.[A182306];;;;",CCC(C)C1(CC)C(=O)NC(=O)NC1=O,COC1=CC=CC=C1OCCNCC(O)COC1=CC=CC2=C1C1=CC=CC=C1N2
Diazoxide,Glimepiride,True,"A benzothiadiazine derivative that is a peripheral vasodilator used for hypertensive emergencies. It lacks diuretic effect, apparently because it lacks a sulfonamide group.;;;;","First introduced in 1995, glimepiride is a member of the second-generation sulfonylurea (SU) drug class used for the management of type 2 diabetes mellitus (T2DM) to improve glycemic control. Type 2 diabetes is a metabolic disorder with increasing prevalences worldwide; it is characterized by insulin resistance in accordance with progressive β cell failure and long-term microvascular and macrovascular complications that lead to co-morbidities and mortalities. Sulfonylureas are one of the insulin secretagogues widely used for the management of type 2 diabetes to lower blood glucose levels. The main effect of SUs is thought to be effective when residual pancreatic β-cells are present,[A177715] as they work by stimulating the release of insulin from the pancreatic beta cells and they are also thought to exert extra-pancreatic effects, such as increasing the insulin-mediated peripheral glucose uptake.[A177709] ;;;",CC1=NS(=O)(=O)C2=C(N1)C=CC(Cl)=C2,CCC1=C(C)CN(C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)N[C@H]2CC[C@H](C)CC2)C1=O
Ondansetron,Buspirone,True,"A competitive serotonin type 3 receptor antagonist. It is effective in the treatment of nausea and vomiting caused by cytotoxic chemotherapy drugs, including cisplatin, and has reported anxiolytic and neuroleptic properties.;;;;","Buspirone is a novel anxiolytic agent with a unique structure and a pharmacological profile. Belonging to the azaspirodecanedione drug class,[A180991] buspirone is a serotonin 5-HT<sub>1A</sub> receptor agonist that is not chemically or pharmacologically related to benzodiazepines, barbiturates, and other sedative/anxiolytic drugs.[L4478] Unlike many drugs used to treat anxiety, buspirone does not exhibit anticonvulsant, sedative, hypnotic, and muscle-relaxant properties. Due to these characteristics, buspirone been termed 'anxioselective'.[A180985] First synthesized in 1968 then patented in 1975,[L7375] it is commonly marketed under the brand name Buspar®. Buspirone was first approved in 1986 by the FDA [A181751] and has been used to treat anxiety disorders, such as generalized anxiety disorder (GAD), and relieve symptoms of anxiety. It has also been used as a second-line therapy for unipolar depression when the use of selective serotonin reuptake inhibitors (SSRIs) is deemed clinically inadequate or inappropriate.[L7375] The potential use of buspirone in combination with [melatonin] in depression and cognitive impairment via promoting neurogenesis has also been investigated.[A181751];;;;",CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=CN=C1C)CC2,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1
Sodium oxybate,Flurazepam,True,"Sodium oxybate (Xyrem) is a central nervous system (CNS) depressant used to treat cataplexy or excessive daytime sleepiness associated with narcolepsy.[L30598] It is a sodium salt of [gamma-Hydroxybutyric acid], an endogenous cerebral inhibitory neurotransmitter [A251445] and a metabolite of the inhibitory neurotransmitter GABA.[A251430] Due to its physiological effects, sodium oxybate is associated with a risk for substance misuse and abuse. Sodium oxybate has been misused to stimulate body growth and to induce euphoria, disinhibition, and sexual arousal as a ""party drug"" or ""club drug.""[A18723] For safety reasons, sodium oxybate is a controlled substance only available through a restricted program in approved countries.[L30598];;;;",A benzodiazepine derivative used mainly as a hypnotic.;;;;,[Na+].OCCCC([O-])=O,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F
Magnesium oxide,Methenamine,True,Magnesium oxide is an inorganic compound that occurs in nature as the mineral periclase. In aqueous media combines quickly with water to form magnesium hydroxide. It is used as an antacid and mild laxative and has many nonmedicinal uses.;;;;,Methenamine is a heterocyclic organic compound with a cage-like structure similar to adamantane. In salt form it is used for the treatment of urinary tract infection (Example: methenamine hippurate which is the hippuric acid salt of methenamine).;;;;,[O--].[Mg++],C1N2CN3CN1CN(C2)C3
Dofetilide,Dolutegravir,True,"Dofetilide is a class III antiarrhythmic agent that is approved by the Food and Drug Administration (FDA) for the maintenance of sinus rhythm in individuals prone to the formation of atrial fibrillation and flutter, and for the chemical cardioversion to sinus rhythm from atrial fibrillation and flutter.;;;;","Dolutegravir is a HIV-1 intergrase inhibitor that blocks the strand transfer step of the integration of the viral genome into the host cell (INSTI).[A7514] The effect of this drug has no homology in human host cells which gives it an excellent tolerability and minimal toxicity.[A31342] Dolutegravir was developed by ViiV Healthcare and FDA approved on August 12, 2013.[L1035] On November 21, 2017, dolutegravir, in combination with rilpivirine, was approved as part of the first complete treatment regimen with only two drugs for the treatment of adults with HIV-1 named Juluca.[L1031];;;;",CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C(O)=C3C(=O)N1[C@H](C)CCO2
Pimecrolimus,Imatinib,True,Pimecrolimus is an immunomodulating agent that was first marketed by Novartis under the trade name Elidel. It is now promoted in Canada by Galderma since early 2007. It is currently available as a topic cream used in the treatment of atopic dermatitis (eczema).;;;;,"Imatinib is a small molecule kinase inhibitor that revolutionized the treatment of cancer, particularly chronic myeloid leukemia, in 2001.[A249305] It was deemed a ""miracle drug"" due to its clinical success, as oncologist Dr. Brian noted that ""complete hematologic responses were observed in 53 of 54 patients with CML treated with a daily dosage of 300 mg or more and typically occurred in the first four weeks of therapy"".[A249315]. The discovery of imatinib also established a new group of therapy called ""targeted therapy"", since treatment can be tailored specifically to the unique cancer genetics of each patient.[L42220];;;;",[H][C@]1(CC[C@H](Cl)[C@@H](C1)OC)\C=C(/C)[C@@]1([H])OC(=O)[C@]2([H])CCCCN2C(=O)C(=O)[C@]2(O)O[C@@]([H])([C@H](C[C@H]2C)OC)[C@H](C[C@@H](C)C\C(C)=C\[C@@H](CC)C(=O)C[C@H](O)[C@H]1C)OC,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1
Butalbital,Clenbuterol,True,"Butalbital, or 5-allyl-5-isobutylbarbituric acid, is a derivative of barbituric acid which the hydrogens at position 5 are substituted by an allyl group and an isobutyl group. It is a short-to-intermediate acting member of barbiturates that exhibit muscle-relaxing and anti-anxiety properties that produce central nervous system (CNS) depression that ranges from mild sedation to general anesthesia.[A177754] Butalbital has a low degree of selectivity and a narrow therapeutic index.[A177754] Typically indicated to manage tension (or muscle contraction) headaches, butalbital is often combined with one or more therapeutic agents, such as acetylsalicylic acid, acetaminophen, aspirin, and caffeine. There have not been clinical trials that evaluate the clinical efficacy of butalbital in migraines [A177754] thus it is not indicated for such condition. As with other barbiturates, butalbital carries a risk of abuse or misuse potential, intoxication, hangover, tolerance, dependence, and overdosage possibly leading to death.[L10370] Butalbital‐containing analgesics can also produce a drug‐induced headache in addition to tolerance and dependence. Due to these risks, the use of butalbital-containing combination products is typically limited for use only in cases where other medications are deemed ineffective and such usage is advised to be carefully monitored.[A177754];;;;",A substituted phenylaminoethanol that has beta-2 adrenomimetic properties at very low doses. It is used as a bronchodilator in asthma.;;;;,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1
Ketoconazole,Busulfan,True,"Ketoconazole is an imidazole antifungal agent used in the prevention and treatment of a variety of fungal infections.[FDA Label] It functions by preventing the synthesis of ergosterol, the fungal equivalent of cholesterol, thereby increasing membrane fluidity and preventing growth of the fungus.[A181802,T116] Ketoconazole was first approved in an oral formulation for systemic use by the FDA in 1981.[A188054] At this time it was considered a significant improvement over previous antifungals, [miconazole] and [clotrimazole], due to its broad spectrum and good absorption. However, it was discovered that ketoconazole produces frequent gastrointestinal side effects and dose-related hepatitis.[A188054,A188057] These effects combined with waning efficacy led to its eventual replacement by triazole agents, [fluconazole], [itraconazole], [voriconazole], and [posaconazole]. Ketoconazole and its predecessor [clotrimazole] continue to be used in topical formulations.;;;;","Busulfan is a bifunctional alkylating agent, having a selective immunosuppressive effect on bone marrow. It is not a structural analog of the nitrogen mustards. It has been used in the palliative treatment of chronic myeloid leukemia (myeloid leukemia, chronic), but although symptomatic relief is provided, no permanent remission is brought about. According to the Fourth Annual Report on Carcinogens (NTP 85-002, 1985), busulfan is listed as a known carcinogen.;;;;",CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,CS(=O)(=O)OCCCCOS(C)(=O)=O
Minocycline,Pethidine,True,"Minocycline was first described in the literacture in 1966.[A190681] It is a second generation tetracycline antibiotic that is active against gram-negative and gram-positive bacteria.[A190723] Like other semisynthetic tetracyclines, minocycline has modifications to carbons 7-9 on the D ring to generate higher efficacy than previous tetracyclines.[A190723];;;;","A narcotic analgesic that can be used for the relief of most types of moderate to severe pain, including postoperative pain and the pain of labor. Prolonged use may lead to dependence of the morphine type; withdrawal symptoms appear more rapidly than with morphine and are of shorter duration.;;;",[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1
Tranylcypromine,Amoxapine,True,"A propylamine formed from the cyclization of the side chain of amphetamine. This monoamine oxidase inhibitor is effective in the treatment of major depression, dysthymic disorder, and atypical depression. It also is useful in panic and phobic disorders (From AMA Drug Evaluations Annual, 1994, p311). ;;;;","Amoxapine, the <i>N</i>-demethylated derivative of the antipsychotic agent loxapine, is a dibenzoxazepine-derivative tricyclic antidepressant (TCA). TCAs are structurally similar to phenothiazines. They contain a tricyclic ring system with an alkyl amine substituent on the central ring. In non-depressed individuals, amoxapine does not affect mood or arousal, but may cause sedation. In depressed individuals, amoxapine exerts a positive effect on mood. TCAs are potent inhibitors of serotonin and norepinephrine reuptake. In addition, TCAs down-regulate cerebral cortical &beta;-adrenergic receptors and sensitize post-synaptic serotonergic receptors with chronic use. The antidepressant effects of TCAs are thought to be due to an overall increase in serotonergic neurotransmission. TCAs also block histamine H<sub>1</sub> receptors;<sub>1</sub>-adrenergic receptors and muscarinic receptors, which accounts for their sedative, hypotensive and anticholinergic effects (e.g. blurred vision, dry mouth, constipation, urinary retention), respectively. See toxicity section below for a complete listing of side effects. Amoxapine may be used to treat neurotic and reactive depressive disorders, endogenous and psychotic depression, and mixed symptoms of depression and anxiety or agitation.;;",NC1CC1C1=CC=CC=C1,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1
Perindopril,Yohimbine,True,"Perindopril is a nonsulfhydryl prodrug that belongs to the angiotensin-converting enzyme (ACE) inhibitor class of medications. It is rapidly metabolized in the liver to perindoprilat, its active metabolite, following oral administration. Perindoprilat is a potent, competitive inhibitor of ACE, the enzyme responsible for the conversion of angiotensin I (ATI) to angiotensin II (ATII). ATII regulates blood pressure and is a key component of the renin-angiotensin-aldosterone system (RAAS). Perindopril may be used to treat mild to moderate essential hypertension, mild to moderate congestive heart failure, and to reduce the cardiovascular risk of individuals with hypertension or post-myocardial infarction and stable coronary disease.;;;;",A plant alkaloid with alpha-2-adrenergic blocking activity. Yohimbine has been used as a mydriatic and in the treatment of impotence. It is also alleged to be an aphrodisiac.;;;;,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2
Cyproheptadine,Orphenadrine,True,"Cyproheptadine is a potent competitive antagonist of both serotonin and histamine receptors.[L32474] It is used primarily to treat allergic symptoms, though it is perhaps more notable for its use in appetite stimulation[L32519] and its off-label use in the treatment of serotonin syndrome.[A231274];;;;",A muscarinic antagonist used to treat drug-induced parkinsonism and to relieve pain from muscle spasm.;;;;,CN1CCC(CC1)=C1C2=CC=CC=C2C=CC2=CC=CC=C12,CN(C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1C
Fludrocortisone,Nefazodone,True,"Fludrocortisone is a synthetic mineralocorticoid used in conjunction with [hydrocortisone] to replace missing endogenous corticosteroids in patients with adrenal insufficiency.[A187169,A187187] It is functionally similar to [aldosterone], the body's primary endogenous mineralocorticoid, and is structurally analogous to [cortisol], differing only by a fluorine atom at the 9-position of the steroid structure - this fluorination is thought to be crucial to fludrocortisone's significant mineralocorticoid potency.[A5423];;;;","Nefazodone hydrochloride (trade name Serzone) is an antidepressant drug marketed by Bristol-Myers Squibb. Its sale was discontinued in 2003 in some countries, due to the small possibility of hepatic (liver) injury. Drug-induced hepatic injuries were associated with an risk of elevated need for a liver transplant, or even death, with the incidence of severe liver damage was shown to be approximately 1 in 250,000 to 300,000 patient-years. On May 20, 2004, Bristol-Myers Squibb discontinued the sale of Serzone in the United States.;;;;",[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,CCC1=NN(CCCN2CCN(CC2)C2=CC(Cl)=CC=C2)C(=O)N1CCOC1=CC=CC=C1
Leuprolide,Artemether,True,"Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty.[A203126, A203132];;;;","Artemether is an antimalarial agent used to treat acute uncomplicated malaria. It is administered in combination with lumefantrine for improved efficacy. This combination therapy exerts its effects against the erythrocytic stages of <i>Plasmodium spp.</i> and may be used to treat infections caused by <i>P. falciparum</i> and unidentified <i>Plasmodium</i> species, including infections acquired in chloroquine-resistant areas.;;;;",CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=C1C=CC=C2)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@@H]1CCC(=O)N1,[H][C@@]12CC[C@@H](C)[C@]3([H])CC[C@@]4(C)OO[C@@]13[C@]([H])(O[C@H](OC)[C@@H]2C)O4
Nabilone,Triprolidine,True,"Nabilone (marketed as Cesamet) is a synthetic form of delta-9-tetrahydrocannabinol (Δ⁹-THC), the primary psychoactive component of cannabis (marijuana). Although structurally distinct from THC, nabilone mimics THC's structure and pharmacological activity through weak partial agonist activity at Cannabinoid-1 (CB1R) and Cannabinoid-2 (CB2R) receptors, however it is considered to be twice as active as Δ⁹-THC. Nabilone is approved by the FDA for the treatment of nausea and vomiting associated with cancer chemotherapy in patients who have failed to respond adequately to conventional antiemetic treatments [FDA Label].;;;;",First generation histamine H1 antagonist used in allergic rhinitis; asthma; and urticaria. It is a component of cough and cold medicines. It may cause drowsiness.;;,[H][C@@]12CC(=O)CC[C@@]1([H])C(C)(C)OC1=CC(=CC(O)=C21)C(C)(C)CCCCCC,CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1
Tedizolid Phosphate,Ritodrine,True,"Drug-resistant bacteria, such as methicillin-resistant _Staphylococcus aureus_, vancomycin-resistant _Enterococcus faecium_, and penicillin-resistant _Streptococcus penumoniae_, represent a massive public health threat.[A199086, A199131] Tedizolid is a member of the oxazolidinone class of antibiotics, which includes the previously approved [linezolid] and is generally effective against multidrug-resistant Gram-positive bacteria. Tedizolid is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) and is generally more effective and more tolerable than [linezolid].[L11232, A199086, A199050];;;;",Adrenergic beta-agonist used to control premature labor.;;;;,CN1N=NC(=N1)C1=CC=C(C=N1)C1=CC=C(C=C1F)N1C[C@H](COP(O)(O)=O)OC1=O,C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1
Ketoconazole,Salmeterol,True,"Ketoconazole is an imidazole antifungal agent used in the prevention and treatment of a variety of fungal infections.[FDA Label] It functions by preventing the synthesis of ergosterol, the fungal equivalent of cholesterol, thereby increasing membrane fluidity and preventing growth of the fungus.[A181802,T116] Ketoconazole was first approved in an oral formulation for systemic use by the FDA in 1981.[A188054] At this time it was considered a significant improvement over previous antifungals, [miconazole] and [clotrimazole], due to its broad spectrum and good absorption. However, it was discovered that ketoconazole produces frequent gastrointestinal side effects and dose-related hepatitis.[A188054,A188057] These effects combined with waning efficacy led to its eventual replacement by triazole agents, [fluconazole], [itraconazole], [voriconazole], and [posaconazole]. Ketoconazole and its predecessor [clotrimazole] continue to be used in topical formulations.;;;;","Salmeterol is a long-acting beta-2 adrenergic receptor agonist drug that is currently prescribed for the treatment of asthma and chronic obstructive pulmonary disease COPD.[L11545,L11548,L11551,L11554,L11557] It has a longer duration of action than the short-acting beta-2 adrenergic receptor agonist, [salbutamol].[A190459] Salmeterol was first described in the literature in 1988.[A190477] Salmeterol's structure is similar to salbutamol's with an aralkyloxy-alkyl substitution on the amine.[A183737];;;;",CC(=O)N1CCN(CC1)C1=CC=C(OCC2COC(CN3C=CN=C3)(O2)C2=CC=C(Cl)C=C2Cl)C=C1,OCC1=C(O)C=CC(=C1)C(O)CNCCCCCCOCCCCC1=CC=CC=C1
