focal_entity,candidate_entity,label,description_of_focal_entity,description_of_candidate_entity,subfield,subfield_definition
How fast do structures emerge in hypercycle-systems?,On the Deformations of Dorfman's and Sokolov's Operators,False,"A general framework for the simulation of reaction-diffusion systems with probabilistic cellular automata is presented. The basic reaction probabilities of the chemical model translate directly into the transition rules of the automaton, thus allowing a clear comparison between simulation results and analytic calculations. This framework is then applied to simulations of hypercycle-systems in up to three dimensions. Furthermore, a new measurement quantity is introduced and applied to the hypercycle-systems in two and three dimensions. It can be shown that this quantity can be interpreted as a measure for the macroscopic order of the hypercycle systems.",We deform the Dorfman's and Sokolov's Hamiltonian operators by the quasi-Miura transformation coming from the topological field theory and investigate the deformed operators.,Adaptation and Self-Organizing Systems,"Adaptation and self-organizing systems in nonlinear sciences physics focuses on systems that exhibit adaptive behavior and self-organization. In particular, this includes adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, and machine learning."
Conversion electrons used to monitor the energy scale of electron spectrometer near tritium endpoint - a simulation study,Predictions of covariant chiral perturbation theory for nucleon polarisabilities and polarised Compton scattering,False,"Measurements of the endpoint region of the tritium beta-decay spectrum provides good possibility to determine neutrino mass. This, however, needs a perfect monitoring of the spectrometer energy scale. A parallel measurement of electron line of known energy - in particular the 83mKr conversion K-line - may serve well to this purpose. The 83Rb decaying to 83mKr seems to be a very suitable radioactive source due to its halflife of 86.2 day. In this work, we determine the amount of 83Rb which is necessary for a successful monitoring.","We update the predictions of the SU(2) baryon chiral perturbation theory for the dipole polarisabilities of the proton, $\{\alpha_{E1},\,\beta_{M1}\}_p=\{11.2(0.7),\,3.9(0.7)\}\times10^{-4}$fm$^3$, and obtain the corresponding predictions for the quadrupole, dispersive, and spin polarisabilities: $\{\alpha_{E2},\,\beta_{M2}\}_p=\{17.3(3.9),\,-15.5(3.5)\}\times10^{-4}$fm$^5$, $\{\alpha_{E1\nu},\,\beta_{M1\nu}\}_p=\{-1.3(1.0),\,7.1(2.5)\}\times10^{-4}$fm$^5$, and $\{\gamma_{E1E1},\,\gamma_{M1M1},\,\gamma_{E1M2},\,\gamma_{M1E2}\}_p=\{-3.3(0.8),\,2.9(1.5),\,0.2(0.2),\,1.1(0.3)\}\times10^{-4}$fm$^4$. The results for the scalar polarisabilities are in significant disagreement with semi-empirical analyses based on dispersion relations, however the results for the spin polarisabilities agree remarkably well. Results for proton Compton-scattering multipoles and polarised observables up to the Delta(1232) resonance region are presented too. The asymmetries $\Sigma_3$ and $\Sigma_{2x}$ reproduce the experimental data from LEGS and MAMI. Results for $\Sigma_{2z}$ agree with a recent sum rule evaluation in the forward kinematics. The asymmetry $\Sigma_{1z}$ near the pion production threshold shows a large sensitivity to chiral dynamics, but no data is available for this observable. We also provide the predictions for the polarisabilities of the neutron: $\{\alpha_{E1},\,\beta_{M1}\}_n=\{13.7(3.1),\,4.6(2.7)\}\times10^{-4}$fm$^3$, $\{\alpha_{E2},\,\beta_{M2}\}_n=\{16.2(3.7),\,-15.8(3.6)\}\times10^{-4}$fm$^5$, $\{\alpha_{E1\nu},\,\beta_{M1\nu}\}_n=\{0.1(1.0),\,7.2(2.5)\}\times10^{-4}$fm$^5$, and $\{\gamma_{E1E1},\,\gamma_{M1M1},\,\gamma_{E1M2},\,\gamma_{M1E2}\}_n=\{-4.7(1.1),\,2.9(1.5),\,0.2(0.2),\,1.6(0.4)\}\times10^{-4}$fm$^4$. The neutron dynamical polarisabilities and multipoles are examined too. We also discuss subtleties related to matching dynamical and static polarisabilities.",Nuclear Experiment,"Nuclear experiment in physics focuses on the areas of fundamental interactions, measurements at low- and medium-energy, as well as relativistic heavy-ion collisions. Does not include: detectors and instrumentation nor analysis methods to conduct experiments; descriptions of experimental programs (present or future); comments on published results."
Charmed baryon resonances with heavy-quark spin symmetry,Towards the Finite Temperature Gluon Propagator in Landau Gauge Yang-Mills Theory,False,"Charmed baryon resonances that are generated dynamically are studied within a unitary baryon-meson coupled-channel model, which incorporates heavy-quark spin symmetry. The extension of the SU(3) Weinberg-Tomozawa chiral Lagrangian to SU(8) spin-flavor symmetry plus a suitable symmetry breaking is used. The model produces resonances with negative parity from s-wave interaction of pseudoscalar and vector mesons with $1/2^+$ and $3/2^+$ baryons. Some of our dynamically generated states can be readily assigned to resonances found experimentally, while others do not have a straightforward identification and require the compilation of more data and also refinements of the model.","Yang-Mills theories undergo a deconfining phase transition at a critical temperature. In lattice calculations the temporal Wilson loop and Z_3 order parameter show above this temperature a behavior typical of deconfinement. A quantity of interest in the study of this transition is the gluon propagator and its evolution with temperature. This contribution describes the current status of an investigation of the finite temperature gluon propagator in Landau gauge. It analyzes the high temperature case. The resulting equations are compared to the corresponding ones of three-dimensional Yang-Mills theory. Under certain assumptions it is found that a kind of spatial ""confinement"" is still present, even at very high temperatures.",Nuclear Experiment,"Nuclear experiment in physics focuses on the areas of fundamental interactions, measurements at low- and medium-energy, as well as relativistic heavy-ion collisions. Does not include: detectors and instrumentation nor analysis methods to conduct experiments; descriptions of experimental programs (present or future); comments on published results."
Experimental and First principle calculation of Co_xNi_{(1-x)}Si solid solution structural stability,Polymer Principles of Protein Calorimetric Two-State Cooperativity,False,"We report the investigation of the structural stability of Co$_{(1-x)}$Ni$_x$Si monosilicides for $0<x<1$. As CoSi crystallizes in the FeSi-type structure (B20) and NiSi is stable in the MnP-type structure (B31), a complete set of samples has been synthesized and a systematic study of phase formation under different annealing conditions were carried out in order to understand the reason of such a structural transition when x goes from 0 to 1. This study has revealed a limit in the solubility of Ni in CoSi B20 structure of about 17.5 at.% and of Co in NiSi B31 phase of about 13 at.%. For $0.35<x<0.74$ both B20 and B31 phases are present in the sample at there respective limits of solubility. The temperature dependence of the magnetic susceptibility has also been measured revealing diamagnetic behaviors. Optimal structural parameters and phase stability of the solid solution have been investigated using self-consistent full-potential linearized augmented plane wave method (FP-LAPW) based on the density functional theory (DFT). This calculation well predicts the structural instability observed experimentally.","The experimental calorimetric two-state criterion requires the van't Hoff enthalpy $\Delta H_{\rm vH}$ around the folding/unfolding transition midpoint to be equal or very close to the calorimetric enthalpy $\Delta H_{\rm cal}$ of the entire transition. We use an analytical model with experimental parameters from chymotrypsin inhibitor 2 to elucidate the relationship among several different van't Hoff enthalpies used in calorimetric analyses. Under reasonable assumptions, the implications of these $\Delta H_{\rm vH}$'s being approximately equal to $\Delta H_{\rm cal}$ are equivalent: Enthalpic variations among denatured conformations in real proteins are much narrower than some previous lattice-model estimates, suggesting that the energy landscape theory ``folding to glass transition temperature ratio'' $T_{\rm f}/T_{\rm g}$ may exceed 6.0 for real calorimetrically two-state proteins. Several popular three-dimensional lattice protein models, with different numbers of residue types in their alphabets, are found to fall short of the high experimental standard for being calorimetrically two-state. Some models postulate a multiple-conformation native state with substantial pre-denaturational energetic fluctuations well below the unfolding transition temperature and/or predict a significant post-denaturational continuous conformational expansion of the denatured ensemble at temperatures well above the transition point.",Other Condensed Matter,Other condensed matter in physics focuses on topics that fall outside the scope of more specific categories.
Stability of Initial Glasma Fields,Helium halo nuclei from low-momentum interactions,False,"A system of gluon fields produced in the earliest phase of relativistic heavy-ion collisions, which is called `glasma', can be described in terms of classical fields. Initially there are chromoelectric and chromomagnetic fields along the collision axis. A linear stability analysis of these fields is performed, assuming that the fields are space-time uniform. We apply Milne coordinates and the gauge condition which are usually used in studies of glasma. The chromoelectric field is in the Abelian configuration with the corresponding potential linearly depending on coordinates but the chromomagnetic field is in the nonAbelian configuration generated by the potential of non-commuting components. The chromomagnetic field is found to be unstable and the growth rate of the unstable mode is derived. Our findings are critically debated and confronted with the numerical simulations by Romatschke and Venugopalan who found that the evolving glasma is unstable due to the Weibel instability well-known in electromagnetic plasma.","We present ground-state energies of helium halo nuclei based on chiral low-momentum interactions, using the hyperspherical-harmonics method for 6He and coupled-cluster theory for 8He, with correct asymptotics for the extended halo structure.",Nuclear Theory,"Nuclear theory in physics focuses on theory of nuclear structure covering wide area from models of hadron structure to neutron stars. Nuclear equation of states at different external conditions. Theory of nuclear reactions including heavy-ion reactions at low and high energies. It does not include problems of data analysis, physics of nuclear reactors, problems of safety, reactor construction."
Gas-liquid phase equilibrium in ionic fluids: Coulomb versus non-Coulomb interactions,Fast and scalable quantum information processing with two-electron atoms in optical tweezer arrays,False,"Using the collective variables theory, we study the effect of competition between Coulomb and dispersion forces on the gas-liquid phase behaviour of a model ionic fluid, i.e. a charge-asymmetric primitive model with additional short-range attractive interactions. Both the critical parameters and the coexistence envelope are calculated in a one-loop approximation as a function of the parameter $\alpha$ measuring the relative strength of the Coulomb to short-range interactions. We found the very narrow region of $\alpha$ bounded from the both sides by tricritical points which separates the models with ""nonionic"" and ""Coulombic"" phase behaviour. This is at variance with the result of available computer simulations where no tricritical point is found for the finely-discretized lattice version of the model.","Atomic systems, ranging from trapped ions to ultracold and Rydberg atoms, offer unprecedented control over both internal and external degrees of freedom at the single-particle level. They are considered among the foremost candidates for realizing quantum simulation and computation platforms that can outperform classical computers at specific tasks. In this work, we describe a realistic experimental toolbox for quantum information processing with neutral alkaline-earth-like atoms in optical tweezer arrays. In particular, we propose a comprehensive and scalable architecture based on a programmable array of alkaline-earth-like atoms, exploiting their electronic clock states as a precise and robust auxiliary degree of freedom, and thus allowing for efficient all-optical one- and two-qubit operations between nuclear spin qubits. The proposed platform promises excellent performance thanks to high-fidelity register initialization, rapid spin-exchange gates and error detection in readout. As a benchmark and application example, we compute the expected fidelity of an increasing number of subsequent SWAP gates for optimal parameters, which can be used to distribute entanglement between remote atoms within the array.",Statistical Mechanics,"Statistical mechanics in condensed matter physics focuses on statistical properties of systems with a large number of particles and the laws that govern their behavior. In particular, this includes phase transitions, thermodynamics, field theory, non-equilibrium phenomena, renormalization group and scaling, integrable models, and turbulence."
Dynamics of Darwinian versus Baldwinian versus Lamarckian evolution,Topological Valley Hall Edge State Lasing,False,"In recent years, studies in epigenetic inheritance in biological systems as well as studies on evolution in non-biological systems e.g., machine learning and robotics, have reopened the discussion of non-Darwinian methods of evolutionary optimization. In this paper, the three most prominent classical evolutionary strategies Lamarckian, Darwinian, and Baldwinian are implemented and compared in an agent-based simulation. The dynamics of optimization and learning are studied in constant as well as in dynamic environments, both as single evolutionary strategy populations and as mixed evolutionary strategy populations. The three different agent types are implemented as simple objects that need to gather resources to replicate. The agent fitness is defined through a bitstring match between the agent and the environment and to replicate each agent needs to gather sufficient resources. To make a fair comparison between the three different evolutionary methods, we can assume that both the ability to learn within an individual's lifetime and the learning process itself require additional resources compared to an evolutionary process without lifetime learning. When all three strategies coexist and we vary the replication costs for the different strategies we find the following general pattern: The evolutionary advantage decreases for Lamarckian and Baldwinian strategies as their learning costs increase and/or as their relative replication costs increase compared to the Darwinian strategies, and in most situations the Baldwinian strategy performs in between the Darwinian and Lamarckian strategies. Finally, as our investigations emphasize the superiority of the Lamarckian strategy in most cases with low learning cost, it is interesting to note that a corresponding biological inheritance mechanism did not evolve, while the Lamarckian strategy is currently extensively used in technology applications.","Topological lasers based on topologically protected edge states offer unique features and enhanced robustness of operation in comparison with conventional lasers, even in the presence of disorder, edge deformation, and localized defects. Here we propose a new class of topological lasers arising from the valley Hall edge states, which does not require external magnetic fields or dynamical modulations of the device parameters. Specifically, topological lasing occurs at domain walls between two honeycomb waveguide arrays with broken spatial inversion symmetry. Two types of valley Hall edge lasing modes are found by shaping the gain landscape along the domain walls. In the presence of uniform losses and two-photon absorption, lasing in edge states results in the formation of stable nonlinear dissipative excitations localized on the edge of the structure, even if it has complex geometry and even if it is finite. Robustness of lasing states is demonstrated in both periodic and finite structures, where such states can circumvent sharp corners without scattering loss or radiation into the bulk. The photonic structure and mechanism proposed here for topological lasing is fundamentally different from those previously demonstrated topological lasers and can be used for fabrication of practical topological lasers of various geometries.",Adaptation and Self-Organizing Systems,"Adaptation and self-organizing systems in nonlinear sciences physics focuses on systems that exhibit adaptive behavior and self-organization. In particular, this includes adaptation, self-organizing systems, statistical physics, fluctuating systems, stochastic processes, interacting particle systems, and machine learning."
Matter wave Fourier optics with a strongly interacting two-dimensional Fermi gas,Linking physics and algorithms in the random-field Ising model,False,"We demonstrate and characterize an experimental technique to directly image the momentum distribution of a strongly interacting two-dimensional quantum gas with high momentum resolution. We apply the principles of Fourier optics to investigate three main operations on the expanding gas: focusing, collimation and magnification. We focus the gas in the radial plane using a harmonic confining potential and thus gain access to the momentum distribution. We pulse a different harmonic potential to stop the rapid axial expansion which allows us to image the momentum distribution with high resolution. Additionally, we propose a method to magnify the mapped momentum distribution to access interesting momentum scales. All these techniques can be applied to a wide range of experiments and in particular to study many-body phases of quantum gases.","The energy landscape for the random-field Ising model (RFIM) is complex, yet algorithms such as the push-relabel algorithm exist for computing the exact ground state of an RFIM sample in time polynomial in the sample volume. Simulations were carried out to investigate the scaling properties of the push-relabel algorithm. The time evolution of the algorithm was studied along with the statistics of an auxiliary potential field. At very small random fields, the algorithm dynamics are closely related to the dynamics of two-species annihilation, consistent with fractal statistics for the distribution of minima in the potential (``height''). For $d=1,2$, a correlation length diverging at zero disorder sets a cutoff scale for the magnitude of the height field; our results are most consistent with a power-law correction to the exponential scaling of the correlation length with disorder in $d=2$. Near the ferromagnetic-paramagnetic transition in $d=3$, the time to find a solution diverges with a dynamic critical exponent of $z=0.93\pm0.06$ for a priority queue version and $z=0.43\pm0.06$ for a first-in first-out queue version of the algorithm. The links between the evolution of auxiliary fields in algorithmic time and the static physical properties of the RFIM ground state provide insight into the physics of the RFIM and a better understanding of how the algorithm functions.",Quantum Gases,"Quantum gases in condensed matter physics focuses on ultracold atomic and molecular gases, Bose-Einstein condensation, Feshbach resonances, spinor condensates, optical lattices, quantum simulation with cold atoms and molecules, and macroscopic interference phenomena."
SIDRA: a blind algorithm for signal detection in photometric surveys,"Synthetic CO, H2 and HI surveys of the Galactic 2nd Quadrant, and the properties of molecular gas",False,"We present the Signal Detection using Random-Forest Algorithm (SIDRA). SIDRA is a detection and classification algorithm based on the Machine Learning technique (Random Forest). The goal of this paper is to show the power of SIDRA for quick and accurate signal detection and classification. We first diagnose the power of the method with simulated light curves and try it on a subset of the Kepler space mission catalogue. We use five classes of simulated light curves (CONSTANT, TRANSIT, VARIABLE, MLENS and EB for constant light curves, transiting exoplanet, variable, microlensing events and eclipsing binaries, respectively) to analyse the power of the method. The algorithm uses four features in order to classify the light curves. The training sample contains 5000 light curves (1000 from each class) and 50000 random light curves for testing. The total SIDRA success ratio is $\geq 90\%$. Furthermore, the success ratio reaches 95 - 100$\%$ for the CONSTANT, VARIABLE, EB, and MLENS classes and 92$\%$ for the TRANSIT class with a decision probability of 60$\%$. Because the TRANSIT class is the one which fails the most, we run a simultaneous fit using SIDRA and a Box Least Square (BLS) based algorithm for searching for transiting exoplanets. As a result, our algorithm detects 7.5$\%$ more planets than a classic BLS algorithm, with better results for lower signal-to-noise light curves. SIDRA succeeds to catch 98$\%$ of the planet candidates in the Kepler sample and fails for 7$\%$ of the false alarms subset. SIDRA promises to be useful for developing a detection algorithm and/or classifier for large photometric surveys such as TESS and PLATO exoplanet future space missions.","We present CO, H2, HI and HISA distributions from a set of simulations of grand design spirals including stellar feedback, self-gravity, heating and cooling. We replicate the emission of the 2nd Galactic Quadrant by placing the observer inside the modelled galaxies and post process the simulations using a radiative transfer code, so as to create synthetic observations. We compare the synthetic datacubes to observations of the 2nd Quadrant of the Milky Way to test the ability of the current models to reproduce the basic chemistry of the Galactic ISM, as well as to test how sensitive such galaxy models are to different recipes of chemistry and/or feedback. We find that models which include feedback and self-gravity can reproduce the production of CO with respect to H2 as observed in our Galaxy, as well as the distribution of the material perpendicular to the Galactic plane. While changes in the chemistry/feedback recipes do not have a huge impact on the statistical properties of the chemistry in the simulated galaxies, we find that the inclusion of both feedback and self-gravity are crucial ingredients, as our test without feedback failed to reproduce all of the observables. Finally, even though the transition from H2 to CO seems to be robust, we find that all models seem to underproduce molecular gas, and have a lower molecular to atomic gas fraction than is observed. Nevertheless, our fiducial model with feedback and self-gravity has shown to be robust in reproducing the statistical properties of the basic molecular gas components of the ISM in our Galaxy.",Instrumentation and Methods for Astrophysics,"Instrumentation and methods for astrophysics focuses on detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design."
Magnetoelastic Effects in Iron Telluride,Position-dependent exact-exchange energy for slabs and semi-infinite jellium,False,"Iron telluride doped lightly with selenium is known to undergo a first order magneto-structural transition before turning superconducting at higher doping. We study the effects of magneto-elastic couplings on this transition using symmetry considerations. We find that the magnetic order parameters are coupled to the uniform monoclinic strain of the unit cell with one iron per cell, as well as to the phonons at high symmetry points of the Brillouin zone. In the magnetic phase the former gives rise to monoclinic distortion while the latter induces dimerization of the ferromagnetic iron chains due to alternate lengthening and shortening of the nearest-neighbour iron-iron bonds. We compare this system with the iron arsenides and propose a microscopic magneto-elastic Hamiltonian which is relevant for all the iron based superconductors. We argue that this describes electron-lattice coupling in a system where electron-electron interaction is crucial.","The position-dependent exact-exchange energy per particle $\varepsilon_x(z)$ (defined as the interaction between a given electron at $z$ and its exact-exchange hole) at metal surfaces is investigated, by using either jellium slabs or the semi-infinite (SI) jellium model. For jellium slabs, we prove analytically and numerically that in the vacuum region far away from the surface $\varepsilon_{x}^{\text{Slab}}(z \to \infty) \to - e^{2}/2z$, {\it independent} of the bulk electron density, which is exactly half the corresponding exact-exchange potential $V_{x}(z \to \infty) \to - e^2/z$ [Phys. Rev. Lett. {\bf 97}, 026802 (2006)] of density-functional theory, as occurs in the case of finite systems. The fitting of $\varepsilon_{x}^{\text{Slab}}(z)$ to a physically motivated image-like expression is feasible, but the resulting location of the image plane shows strong finite-size oscillations every time a slab discrete energy level becomes occupied. For a semi-infinite jellium, the asymptotic behavior of $\varepsilon_{x}^{\text{SI}}(z)$ is somehow different. As in the case of jellium slabs $\varepsilon_{x}^{\text{SI}}(z \to \infty)$ has an image-like behavior of the form $\propto - e^2/z$, but now with a density-dependent coefficient that in general differs from the slab universal coefficient 1/2. Our numerical estimates for this coefficient agree with two previous analytical estimates for the same. For an arbitrary finite thickness of a jellium slab, we find that the asymptotic limits of $\varepsilon_{x}^{\text{Slab}}(z)$ and $\varepsilon_{x}^{\text{SI}}(z)$ only coincide in the low-density limit ($r_s \to \infty$), where the density-dependent coefficient of the semi-infinite jellium approaches the slab {\it universal} coefficient 1/2.",Superconductivity,"Superconductivity in condensed matter physics focuses on the study of materials and phenomena where electrical resistance drops to zero below a certain critical temperature, allowing for the flow of electric current without energy loss. In particular, this includes superconductivity: theory, models, experiment. Superflow in helium."
Dynamical properties of a particle in a wave packet: scaling invariance and boundary crisis,Intertwining operator for $AG_2$ Calogero-Moser-Sutherland system,False,"Some dynamical properties present in a problem concerning the acceleration of particles in a wave packet are studied. The dynamics of the model is described in terms of a two-dimensional area preserving map. We show that the phase space is mixed in the sense that there are regular and chaotic regions coexisting. We use a connection with the standard map in order to find the position of the first invariant spanning curve which borders the chaotic sea. We find that the position of the first invariant spanning curve increases as a power of the control parameter with the exponent 2/3. The standard deviation of the kinetic energy of an ensemble of initial conditions obeys a power law as a function of time, and saturates after some crossover. Scaling formalism is used in order to characterize the chaotic region close to the transition from integrability to nonintegrability and a relationship between the power law exponents is derived. The formalism can be applied in many different systems with mixed phase space. Then, dissipation is introduced into the model and therefore the property of area preservation is broken, and consequently attractors are observed. We show that after a small change of the dissipation, the chaotic attractor as well as its basin of attraction are destroyed, thus leading the system to experience a boundary crisis. The transient after the crisis follows a power law with exponent -2.",We consider generalised Calogero-Moser-Sutherland quantum Hamiltonian $H$ associated with a configuration of vectors $AG_2$ on the plane which is a union of $A_2$ and $G_2$ root systems. The Hamiltonian $H$ depends on one parameter. We find an intertwining operator between $H$ and the Calogero-Moser-Sutherland Hamiltonian for the root system $G_2$. This gives a quantum integral for $H$ of order 6 in an explicit form thus establishing integrability of $H$.,Chaotic Dynamics,"Chaotic dynamics in nonlinear sciences physics focuses on the study of chaotic systems and dynamical systems that exhibit sensitive dependence on initial conditions, leading to behavior that appears to be random or unpredictable even though the systems are deterministic in nature. in paticular, this includes dynamical systems, chaos, quantum chaos, topological dynamics, cycle expansions, turbulence, and propagation."
A scale space based algorithm for automated segmentation of single shot tagged MRI of shearing deformation,An Empirical Study of the Relation Between Community Structure and Transitivity,False,"Object This study proposes a scale space based algorithm for automated segmentation of single-shot tagged images of modest SNR. Furthermore the algorithm was designed for analysis of discontinuous or shearing types of motion, i.e. segmentation of broken tag patterns. Materials and methods The proposed algorithm utilizes non-linear scale space for automatic segmentation of single-shot tagged images. The algorithm's ability to automatically segment tagged shearing motion was evaluated in a numerical simulation and in vivo. A typical shearing deformation was simulated in a Shepp-Logan phantom allowing for quantitative evaluation of the algorithm's success rate as a function of both SNR and the amount of deformation. For a qualitative in vivo evaluation tagged images showing deformations in the calf muscles and eye movement in a healthy volunteer were acquired. Results Both the numerical simulation and the in vivo tagged data demonstrated the algorithm's ability for automated segmentation of single-shot tagged MR provided that SNR of the images is above 10 and the amount of deformation does not exceed the tag spacing. The latter constraint can be met by adjusting the tag delay or the tag spacing. Conclusion The scale space based algorithm for automatic segmentation of single-shot tagged MR enables the application of tagged MR to complex (shearing) deformation and the processing of datasets with relatively low SNR.","One of the most prominent properties in real-world networks is the presence of a community structure, i.e. dense and loosely interconnected groups of nodes called communities. In an attempt to better understand this concept, we study the relationship between the strength of the community structure and the network transitivity (or clustering coefficient). Although intuitively appealing, this analysis was not performed before. We adopt an approach based on random models to empirically study how one property varies depending on the other. It turns out the transitivity increases with the community structure strength, and is also affected by the distribution of the community sizes. Furthermore, increasing the transitivity also results in a stronger community structure. More surprisingly, if a very weak community structure causes almost zero transitivity, the opposite is not true and a network with a close to zero transitivity can still have a clearly defined community structure. Further analytical work is necessary to characterize the exact nature of the identified relationship.",Medical Physics,"Medical physics focuses on radiation therapy. Radiation dosimetry. Biomedical imaging modelling. Reconstruction, processing, and analysis. Biomedical system modelling and analysis. Health physics. New imaging or therapy modalities."
Some new solutions to the Schrodinger equation for the trigonometric E8 Calogero-Sutherland problem,Sublattice synchronization of chaotic networks with delayed couplings,False,We provide a list of explicit eigenfunctions of the trigonometric Calogero-Sutherland Hamiltonian associated to the root system of the exceptional Lie algebra E8. The quantum numbers of these solutions correspond to the first and second order weights of the Lie algebra.,"Synchronization of chaotic units coupled by their time delayed variables are investigated analytically. A new type of cooperative behavior is found: sublattice synchronization. Although the units of one sublattice are not directly coupled to each other, they completely synchronize without time delay. The chaotic trajectories of different sublattices are only weakly correlated but not related by generalized synchronization. Nevertheless, the trajectory of one sublattice is predictable from the complete trajectory of the other one. The spectra of Lyapunov exponents are calculated analytically in the limit of infinite delay times, and phase diagrams are derived for different topologies.",Exactly Solvable and Integrable Systems,"Exactly solvable and integrable systems in nonlinear sciences physics focuses on systems that can be solved exactly through analytical methods or have properties that allow for integrability. In particular, this includes exactly solvable systems, integrable PDEs, integrable ODEs, Painleve analysis, integrable discrete maps, solvable lattice models, and integrable quantum systems."
Fully achromatic nulling interferometer (FANI) for high SNR exoplanet characterization,Investigation of Dense Gas Towards Relativistic Outflow Sources,False,"Space-borne nulling interferometers have long been considered as the best option for searching and characterizing extra-solar planets located in the habitable zone of their parent stars. Solutions for achieving deep starlight extinction are now numerous and well demonstrated. However they essentially aim at realizing an achromatic central null in order to extinguish the star. In this communication is described a major improvement of the technique, where the achromatization process is extended to the entire fringe pattern. Therefore higher Signal-to-noise ratios (SNR) and appreciable simplification of the detection system should result. The basic principle of this Fully achromatic nulling interferometer (FANI) consists in inserting dispersive elements along the arms of the interferometer. Herein this principle is explained and illustrated by a preliminary optical system design. The typical achievable performance and limitations are discussed and some initial tolerance requirements are also provided","We probe the interstellar medium towards the objects Circinus X-1, a low-mass X-ray binary with relativistic jets; and the highly energetic Westerlund 2 stellar cluster, which is located towards TeV gamma-ray emission and interesting arc- and jet-like features seen in Nanten 12CO data. We have mapped both regions with the Mopra radio telescope, in 7 mm and 12 mm wavebands, looking for evidence of disrupted/dense gas caused by the interaction between high energy outflows and the ISM. Towards Westerlund 2, peaks in CS(J=1-0) emission indicate high density gas towards the middle of the arc and the endpoint of the jet; and radio recombination line emission is seen overlapping the coincident HII region RCW49. Towards Circinus X-1, 12CO(J=1-0) Nanten data reveals three molecular clouds that lie in the region of Cir X-1. Gas parameters for each cloud are presented here.",Instrumentation and Methods for Astrophysics,"Instrumentation and methods for astrophysics focuses on detector and telescope design, experiment proposals. Laboratory Astrophysics. Methods for data analysis, statistical methods. Software, database design."
"12 Years of Data, Results and Experiences in the European Researchers' Night Project",Willem Janszoon Blaeu,False,"Since twelve years the researchers of the Roman area organize the European Researchers' Night, a project funded by European Commission to discover science and meet researchers through an Europe-wide public event dedicated to fun learning. Since the first edition in 2006, when the National Laboratory of INFN's in Frascati hosted 4000 visitors the project is always grown up to 50,000 attendees and more than 50 scientific partners. In the last edition, The Frascati Scienza association, which was born to coordinate the event, operated in over 30 Italian cities from south to north of the peninsula. In addition, the Made in Science project - European Research Week 2016/17 - has been the one of the largest project funded by the European Commission and it's often referred to as a model for organization and communication to the general public. The 12 yeas data collected and results obtained, as well as some of the most important experiences in public communication of science will be shown.","This article describes the life and work of Willem Janszoon Blaeu (1571-1638), who founded one of history's greatest cartographic publishing firms in 1599. Mostly renowned as a cartographer, he also made terrestrial and celestial globes, various instruments such as quadrants, a planetarium and a tellurium. He invented mechanical devices for improving the technics of printing. As an astronomer, a former student of Tycho Brahe, Willem Blaeu made careful observations of a moon eclipse, he discovered a variable star now known as P Cygni, and carried out a measurement of a degree on the surface of the earth (as his countryman Snell did in 1617).",Physics Education,"Physics education focuses on report of results of a research study, laboratory experience, assessment or classroom practice that represents a way to improve teaching and learning in physics. Also, report on misconceptions of students, textbook errors, and other similar information relative to promoting physics understanding."
Neural Networks Enforcing Physical Symmetries in Nonlinear Dynamical Lattices: The Case Example of the Ablowitz-Ladik Model,Elliptic-rogue waves and modulational instability in nonlinear soliton equations,False,"In this work we introduce symmetry-preserving, physics-informed neural networks (S-PINNs) motivated by symmetries that are ubiquitous to solutions of nonlinear dynamical lattices. Although the use of PINNs have recently attracted much attention in data-driven discovery of solutions chiefly to partial differential equations, we demonstrate that they fail at enforcing important physical laws including symmetries of solutions and conservation laws. Through the correlation of parity symmetries in both space and time of solutions to differential equations with their group equivariant representation, we construct group-equivariant NNs which respect spatio-temporal parity symmetry. Moreover, we adapt the proposed architecture to enforce different types of periodicity (or localization) of solutions to nonlinear dynamical lattices. We do so by applying S-PINNs to the completely integrable Ablowitz-Ladik model, and performing numerical experiments with a special focus on waveforms that are related to rogue structures. These include the Kuznetsov-Ma soliton, and Akhmediev breather as well as the Peregrine soliton. Our numerical results demonstrate the superiority and robustness of the proposed architecture over standard PINNs.","We present elliptic-rogue wave solutions for integrable nonlinear soliton equations in theta functions. Unlike solutions generated on the plane wave background, these solutions depict rogue waves emerging on elliptic function backgrounds. By refining the modified squared wave function method in tandem with the Darboux-B\""acklund transformation, we establish a quantitative correspondence between elliptic-rogue waves and the modulational instability. This connection reveals that the modulational instability of elliptic function solutions triggers rational-form solutions displaying elliptic-rogue waves, whereas the modulational stability of elliptic function solutions results in the rational-form solutions exhibiting the elliptic-solitons or elliptic-breathers. Moreover, this approach enables the derivation of higher-order elliptic-rogue waves, offering a versatile framework for constructing elliptic-rogue waves and exploring modulational stability in other integrable equations.",Pattern Formation and Solitons,"Pattern formation and solitons in nonlinear sciences physics focuses on the study of spontaneous pattern formation in physical, biological, chemical, and related systems. In particular, this includes pattern formation, coherent structures, and solitons."
